17,1094
18,1216
19,1342
20,1355
21,1466
22,1617
23,1820
24,1992
25,2210
26,2319
27,2514
28,2727
29,2920
30,3105
31,3348
32,3537
33,3799
34,4095
35,4341
36,4664
37,5022
38,5229
39,5555
40,5934
41,6388
42,6661
43,7088
44,7450
45,7519
46,7919
47,8348
48,8669
49,9081
50,9472
51,9914
52,10095
53,10357
54,10780
55,11364
56,11865
57,12301
58,12994
59,13605
60,14226
61,14526
62,15189
63,15772
64,16471
65,17176
66,17892
67,18682
68,19430
69,20217
70,20849
71,21351
72,21532
73,21917
74,22592
75,23423
76,24462
77,25316
78,26142
79,27487
80,28056
81,28775
82,29617
83,30512
84,31474
85,32577
86,33564
87,34454
88,35452
89,36689
90,37738
91,38728
92,39829
93,40949
94,41983
95,43475
96,44598
97,45765
98,47155
99,48283
100,49688
101,50948
102,52613
103,53902
104,55429
105,56831
106,58496
107,59632
108,61061
109,62630
110,64143
111,64143
112,64997
113,66769
114,68045
115,69486
116,71163
117,72982
118,74281
119,76074
120,78036
121,79714
122,81577
123,83567
124,85601
125,87537
126,88376
127,89697
128,91557
129,93559
130,95676
131,97555
132,99717
133,101706
134,103892
135,106040
136,108330
137,110717
138,112726
139,115022
140,115022
141,116573
142,118735
143,121027
144,123336
145,127420
146,129877
147,132388
148,134853
149,137381
150,139896
151,142332
152,144860
153,147462
154,149913
155,152529
156,155072
157,157690
158,160420
159,160214
160,163034
161,165807
162,168500
163,170664
164,173083
165,175630
166,178034
167,180453
168,182971
169,182689
170,185391
171,188165
172,190853
173,193511
174,195962
175,198625
176,201146
177,203797
178,206486
179,209077
180,213460
181,227909
182,242595
183,252547
184,255990
185,258644
186,263721
187,272237
188,276465
189,284855
190,288598
191,294746
192,300541
193,305591
194,308531
195,316045
196,319602
197,322790
198,327980
199,333402
200,338404
201,345615
202,356143
203,360996
204,365893
205,370539
206,376175
207,382617
208,383226
209,386944
210,387849
211,389669
212,391885
213,395617
214,399667
215,403588
216,403766
217,402198
218,405060
219,405619
220,407994
221,409472
222,415485
223,418301
224,426496
225,424296
226,431546
227,433071
228,434310
229,438939
230,445771
231,450892
232,453434
233,464155
234,465720
235,473820
236,474507
237,477811
238,481246
239,484279
240,489298
241,489997
242,493413
243,496702
244,500124
245,502093
246,505724
247,512717
248,514541
249,518218
250,520449
251,526539
252,529008
253,530884
254,531513
255,534295
256,538064
257,540394
258,543334
259,529170
260,533246
261,534667
262,538135
263,541826
264,546872
265,548861
266,552298
267,555955
268,561111
269,565402
270,565672
